title|artist
Smoke on the Water|Deep Purple
Won't Get Fooled Again|The Who
Black Betty|Ram Jam
La Grange|ZZ Top
War| Edwin Starr
Behind Blue Eyes|The Who
London Calling - Remastered|The Clash
I Was Made For Lovin' You|KISS
Kashmir - 1990 Remaster|Led Zeppelin
Baba O'Riley|The Who
Highway to Hell|AC/DC
Detroit Rock City|KISS
We Will Rock You - Remastered|Queen
The Passenger|Iggy Pop
Another Brick in the Wall| Pink Floyd
(Don't Fear) The Reaper|Blue Oyster Cult
Hold the Line|TOTO
We Are The Champions - Remastered 2011|Queen
Sultans Of Swing|Dire Straits
Baker Street|Gerry Rafferty
Roxanne - Remastered 2003|The Police
Knockin' On Heaven's Door|Bob Dylan
Sweet Home Alabama|Lynyrd Skynyrd
Angie|The Rolling Stones
Psycho Killer - 2005 Remaster|Talking Heads
A Little Less Conversation|Elvis Presley
My Sharona|The Knack
Born to Run|Bruce Springsteen
